teamId	userId	isAssistantCoach	hasBeenHonored
34	1	TRUE	FALSE
59	1	TRUE	FALSE
45	2	TRUE	FALSE
20	3	TRUE	FALSE
62	5	TRUE	TRUE
10	9	TRUE	FALSE
93	10	TRUE	FALSE
4	11	FALSE	FALSE
33	11	TRUE	TRUE
26	14	TRUE	FALSE
42	15	FALSE	FALSE
13	18	FALSE	FALSE
27	21	TRUE	FALSE
54	21	TRUE	FALSE
56	23	TRUE	FALSE
61	23	TRUE	TRUE
45	25	TRUE	FALSE
72	28	FALSE	FALSE
47	30	TRUE	FALSE
59	33	FALSE	FALSE
34	34	TRUE	TRUE
8	35	FALSE	FALSE
31	39	TRUE	FALSE
66	39	TRUE	FALSE
34	40	TRUE	FALSE
3	42	TRUE	FALSE
5	42	TRUE	FALSE
58	42	TRUE	TRUE
61	43	TRUE	FALSE
13	45	TRUE	TRUE
18	45	TRUE	FALSE
60	45	TRUE	FALSE
36	47	TRUE	FALSE
71	50	TRUE	FALSE
100	50	TRUE	FALSE
49	61	TRUE	FALSE
94	69	FALSE	FALSE
13	70	TRUE	FALSE
96	71	TRUE	FALSE
75	72	FALSE	FALSE
100	72	FALSE	TRUE
90	76	TRUE	FALSE
57	77	TRUE	FALSE
82	80	TRUE	TRUE
50	81	FALSE	FALSE
14	83	TRUE	FALSE
51	84	TRUE	FALSE
95	84	TRUE	FALSE
37	85	FALSE	FALSE
9	86	TRUE	TRUE
75	87	FALSE	FALSE
44	95	TRUE	FALSE
13	97	TRUE	FALSE
94	97	TRUE	FALSE
74	100	FALSE	TRUE
8	101	FALSE	FALSE
66	102	FALSE	FALSE
50	104	TRUE	FALSE
90	105	TRUE	FALSE
1	106	FALSE	TRUE
66	108	FALSE	FALSE
70	108	FALSE	FALSE
64	109	FALSE	FALSE
20	110	FALSE	FALSE
41	115	TRUE	FALSE
54	117	TRUE	FALSE
22	120	FALSE	FALSE
79	121	TRUE	FALSE
10	122	FALSE	FALSE
36	124	TRUE	FALSE
